dataset,real,user,sys
buchanj-midwinter-00-t.txt,4.780,8.681,0.475
buchanj-midwinter-00-t.txt,4.822,8.404,0.360
buchanj-midwinter-00-t.txt,4.860,8.554,0.439
carman-farhorizons-00-t.txt,3.889,7.463,0.486
carman-farhorizons-00-t.txt,4.718,7.254,0.396
carman-farhorizons-00-t.txt,3.656,7.902,0.447
charlesworth-scene-00-t.txt,3.793,8.206,0.387
charlesworth-scene-00-t.txt,3.872,8.200,0.359
charlesworth-scene-00-t.txt,4.793,7.959,0.416
cheyneyp-darkbahama-00-t.txt,4.838,8.250,0.401
cheyneyp-darkbahama-00-t.txt,4.742,8.187,0.444
cheyneyp-darkbahama-00-t.txt,3.732,8.084,0.327
colby-champlain-00-t.txt,3.887,8.110,0.399
colby-champlain-00-t.txt,3.802,8.137,0.412
colby-champlain-00-t.txt,3.725,7.736,0.358
delamare-bumps-00-t.txt,3.813,7.241,0.365
delamare-bumps-00-t.txt,3.854,8.041,0.386
delamare-bumps-00-t.txt,3.807,7.811,0.437
delamare-lucy-00-t.txt,3.750,7.622,0.392
delamare-lucy-00-t.txt,4.749,7.650,0.381
delamare-lucy-00-t.txt,3.769,7.183,0.425
delamare-myfanwy-00-t.txt,3.722,7.373,0.387
delamare-myfanwy-00-t.txt,3.733,7.351,0.413
delamare-myfanwy-00-t.txt,3.715,7.444,0.454
delamare-penny-00-t.txt,3.860,7.272,0.330
delamare-penny-00-t.txt,3.863,7.557,0.391
delamare-penny-00-t.txt,3.797,7.058,0.361
pg4300.txt,4.818,9.977,0.443
pg4300.txt,4.769,9.650,0.443
pg4300.txt,4.770,9.500,0.346
